               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078987,             0.04289,            0.026967,             0.22304,             0.28826,             0.16892,            0.059211,            0.059861,            0.020255,            0.011451,            0.070059,           0.0033268,           0.0033268
                   1,            0.060303,            0.039963,            0.013844,             0.23791,             0.22659,             0.12785,             0.04121,            0.059565,            0.018992,            0.014556,            0.039729,           0.0063305,           0.0063305
                   2,            0.058112,            0.040251,            0.012783,             0.26088,             0.26397,             0.15271,            0.053736,            0.060579,            0.022689,           0.0092701,           0.0090694,           0.0090041,           0.0090041
                   3,            0.056544,            0.040773,            0.012106,             0.32711,             0.31861,             0.23897,            0.088391,            0.058392,            0.018814,           0.0096302,            0.008515,            0.008515,            0.008515
                   4,             0.05505,            0.040089,            0.011048,             0.36561,             0.35342,             0.28211,             0.10651,            0.054973,            0.019688,           0.0075404,            0.008515,            0.008515,            0.008515
                   5,            0.053726,            0.039766,            0.010069,              0.3723,             0.40101,              0.3106,             0.12781,            0.053747,            0.019033,           0.0076336,             0.00802,             0.00802,             0.00802
                   6,            0.053052,            0.039288,           0.0091279,             0.32321,             0.37692,             0.27548,              0.1082,            0.055422,            0.019495,           0.0063278,            0.007525,            0.007525,            0.007525
                   7,            0.052042,            0.039896,           0.0084646,             0.41697,             0.36228,             0.33544,             0.14078,            0.051853,            0.018572,           0.0068614,             0.00703,             0.00703,             0.00703
                   8,             0.05122,            0.038875,           0.0079027,             0.42801,             0.36666,             0.33717,             0.13825,            0.051516,            0.019024,           0.0062717,            0.006535,            0.006535,            0.006535
                   9,            0.050953,            0.038841,           0.0075579,             0.39115,             0.35242,             0.30446,             0.11857,            0.052635,            0.018954,           0.0062627,             0.00604,             0.00604,             0.00604
                  10,            0.050366,            0.038328,           0.0072494,             0.39032,             0.36853,             0.30777,             0.12315,            0.052964,            0.020062,           0.0059059,            0.005545,            0.005545,            0.005545
                  11,            0.049792,            0.037978,           0.0069768,             0.37625,             0.40673,             0.32771,              0.1385,              0.0519,            0.018939,           0.0051562,             0.00505,             0.00505,             0.00505
                  12,            0.049473,            0.038014,            0.006308,             0.39006,             0.38958,             0.33429,                0.14,             0.05135,            0.019052,           0.0050494,            0.004555,            0.004555,            0.004555
                  13,            0.048779,              0.0379,           0.0060367,             0.42043,             0.35404,               0.332,             0.13439,            0.050823,            0.019362,           0.0045795,             0.00406,             0.00406,             0.00406
                  14,            0.048027,            0.037249,           0.0057992,             0.38005,             0.38992,             0.31368,             0.12453,            0.051822,            0.019625,           0.0049306,            0.003565,            0.003565,            0.003565
                  15,            0.047782,            0.037445,           0.0055658,             0.39977,             0.40798,             0.34041,             0.14758,            0.050679,            0.019171,           0.0049027,             0.00307,             0.00307,             0.00307
                  16,            0.047254,            0.037519,           0.0051333,             0.41445,              0.4145,             0.33365,             0.14365,            0.050998,            0.019054,           0.0045753,            0.002575,            0.002575,            0.002575
                  17,            0.046858,            0.037315,           0.0050095,             0.43978,             0.36049,              0.3277,             0.13741,            0.050848,            0.019167,           0.0042756,             0.00208,             0.00208,             0.00208
                  18,            0.046371,            0.036866,           0.0047137,             0.40173,             0.40519,             0.33018,             0.13729,            0.050982,            0.019275,           0.0049457,            0.001585,            0.001585,            0.001585
                  19,            0.045901,            0.036068,           0.0041358,             0.39695,             0.42243,             0.34642,             0.14915,            0.049408,            0.018812,           0.0047106,             0.00109,             0.00109,             0.00109
